Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
35,Darius Bazley,PF,21,OKC,22,22,27.3,3.2,9.1,.348,1.0,3.6,.275,2.2,5.5,.397,.403,1.1,1.8,.625,1.0,5.5,6.5,1.4,0.7,1.1,1.5,0.8,8.5,601,9.0,.428,.398,.199,3.5,21.0,12.0,8.1,1.3,3.8,13.1,18.0,,-1.0,0.7,-0.3,-0.023,,-3.7,-0.7,-4.4,-0.4
36,Bradley Beal,SG,28,WAS,21,21,35.6,8.4,19.6,.428,1.6,6.0,.264,6.8,13.6,.500,.468,3.6,4.1,.862,0.9,3.9,4.8,6.0,0.9,0.3,3.5,2.0,21.9,747,16.2,.512,.304,.212,2.9,11.2,7.2,29.3,1.3,0.8,14.0,31.3,,0.0,0.6,0.6,.039,,0.7,-1.4,-0.7,0.2
37,Malik Beasley,SG,25,MIN,23,0,25.6,3.7,10.6,.346,2.6,7.9,.326,1.1,2.7,.403,.467,0.7,1.0,.727,0.3,2.7,3.0,1.4,0.7,0.2,0.7,1.2,10.6,588,9.5,.481,.745,.091,1.4,11.3,6.1,8.4,1.2,0.6,5.6,18.9,,0.2,0.5,0.6,.053,,-1.5,-1.5,-3.0,-0.1
38,DeAndre' Bembry,SF,27,BRK,22,7,20.4,2.5,4.5,.566,0.4,1.0,.429,2.1,3.5,.603,.611,0.4,0.9,.474,0.8,2.6,3.5,1.2,1.0,0.5,0.7,2.2,5.9,448,12.1,.605,.212,.192,4.4,13.1,8.9,8.2,2.3,2.2,13.0,12.1,,0.5,0.6,1.1,.118,,-2.3,1.4,-0.9,0.1
39,Davis Bertans,PF,29,WAS,14,0,16.4,1.6,5.6,.291,1.1,4.5,.254,0.5,1.1,.438,.392,1.0,1.1,.933,0.2,1.5,1.7,0.5,0.3,0.1,0.4,1.8,5.4,230,4.9,.444,.797,.190,1.5,9.3,5.6,4.3,0.9,0.4,6.6,17.8,,-0.2,0.1,-0.1,-0.012,,-4.6,-2.6,-7.2,-0.3
40,Patrick Beverley,PG,33,MIN,16,12,25.4,3.1,6.7,.458,1.2,3.5,.339,1.9,3.2,.588,.547,0.8,1.1,.706,1.4,2.9,4.4,4.5,0.9,1.0,1.2,3.1,8.1,406,15.5,.563,.523,.159,5.7,12.6,9.0,25.8,1.7,3.7,14.2,13.7,,0.9,0.5,1.4,.161,,0.6,1.3,1.8,0.4
41,Saddiq Bey,SF,22,DET,22,22,32.1,4.5,13.0,.351,1.8,6.2,.287,2.8,6.8,.409,.419,1.5,2.0,.744,2.0,4.1,6.1,2.5,1.0,0.2,1.4,1.7,12.3,707,10.4,.446,.477,.151,6.1,15.2,10.3,13.3,1.5,0.5,9.0,20.3,,-0.4,0.4,0.1,.005,,-1.7,-2.0,-3.7,-0.3
42,Khem Birch,C,29,TOR,15,3,22.9,2.7,5.3,.500,0.0,0.4,.000,2.7,4.9,.541,.500,1.6,2.2,.727,3.2,2.5,5.7,1.3,1.0,0.5,0.6,1.8,6.9,344,17.1,.550,.075,.413,14.4,12.4,13.5,8.2,2.2,2.0,8.7,12.9,,0.8,0.3,1.1,.154,,0.0,-0.2,-0.2,0.2
43,Goga Bitadze,C,22,IND,16,0,8.6,0.9,3.1,.286,0.3,1.6,.160,0.6,1.5,.417,.327,0.7,1.1,.647,1.0,1.3,2.3,0.2,0.6,0.6,0.3,1.6,2.7,138,10.7,.381,.510,.347,12.7,16.3,14.5,3.0,3.2,6.2,8.1,19.4,,-0.2,0.3,0.1,.041,,-5.4,0.4,-5.0,-0.1
44,Nemanja Bjelica,C,33,GSW,23,0,14.3,2.3,5.0,.457,0.9,2.3,.370,1.4,2.7,.532,.543,0.9,1.1,.769,0.9,3.0,3.9,1.5,0.7,0.3,1.1,1.3,6.3,329,16.3,.573,.466,.224,7.3,21.7,14.8,15.3,2.3,2.4,16.4,19.9,,0.4,0.8,1.1,.164,,-0.2,1.1,1.0,0.2
