,Team,Season,eFG%,TOV%,ORB%,FTr,Opp eFG%,Opp TOV%,DRB%,Opp FTr,W,L,Outcome
149,Cleveland Cavaliers,2015,52.0,13.4,26.8,21.6,50.2,12.6,74.7,17.7,53,29,3
150,Milwaukee Bucks,2014,47.9,14.1,27.1,20.4,52.0,13.2,71.4,22.5,15,67,-1
151,Brooklyn Nets,2014,51.4,14.1,21.7,23.599999999999998,50.9,14.9,72.3,23.599999999999998,44,38,1
152,Washington Wizards,2014,50.6,13.6,25.2,18.099999999999998,50.4,15.0,75.7,22.0,44,38,1
153,Utah Jazz,2014,48.4,13.9,25.5,20.200000000000003,51.800000000000004,12.1,74.5,22.7,25,57,-1
154,Portland Trail Blazers,2014,50.4,12.4,28.0,22.0,48.8,11.0,74.7,19.400000000000002,54,28,1
155,Phoenix Suns,2014,51.9,14.0,26.4,22.2,49.6,13.9,73.7,23.7,48,34,-1
156,Indiana Pacers,2014,49.0,14.3,24.9,22.6,46.0,12.9,76.8,19.7,56,26,2
157,Denver Nuggets,2014,49.7,14.0,27.5,22.2,50.0,12.8,74.5,23.3,36,46,-1
158,New Orleans Pelicans,2014,49.5,12.9,26.9,22.0,51.5,13.6,73.8,24.9,34,48,-1
159,Los Angeles Clippers,2014,52.6,12.7,25.0,25.8,48.4,13.8,72.5,22.2,57,25,1
160,Atlanta Hawks,2014,51.5,14.3,21.0,20.8,51.0,14.0,74.4,19.6,38,44,0
161,Sacramento Kings,2014,48.4,13.9,27.8,25.1,51.2,12.7,76.6,23.400000000000002,28,54,-1
162,Golden State Warriors,2014,51.7,13.8,25.1,18.6,47.699999999999996,13.6,76.3,22.400000000000002,51,31,0
163,Philadelphia 76ers,2014,47.5,14.8,24.8,19.0,52.400000000000006,14.9,72.4,24.4,19,63,-1
164,Memphis Grizzlies,2014,49.4,13.1,28.3,18.4,49.7,13.8,75.7,19.900000000000002,50,32,0
165,Boston Celtics,2014,47.699999999999996,14.2,27.4,19.3,50.5,13.4,74.2,22.7,25,57,-1
166,Dallas Mavericks,2014,52.6,12.7,24.6,20.1,51.5,14.8,72.7,22.900000000000002,49,33,0
167,Minnesota Timberwolves,2014,48.6,12.2,27.4,24.9,51.800000000000004,14.8,74.4,17.7,40,42,-1
168,Toronto Raptors,2014,49.8,13.2,27.2,23.9,49.3,14.1,74.9,23.7,48,34,0
169,San Antonio Spurs,2014,53.7,13.5,22.7,18.8,48.199999999999996,12.8,76.4,18.4,62,20,4
170,Chicago Bulls,2014,47.099999999999994,14.2,27.2,22.6,47.099999999999994,13.7,75.4,18.9,48,34,0
171,Los Angeles Lakers,2014,50.5,13.7,20.2,19.900000000000002,51.300000000000004,12.4,71.0,19.2,27,55,-1
172,Charlotte Hornets,2014,48.1,11.7,21.9,21.9,49.1,12.6,77.6,18.3,43,39,0
173,Houston Rockets,2014,53.1,14.6,27.4,27.500000000000004,48.9,12.5,74.1,19.3,54,28,0
174,Miami Heat,2014,55.400000000000006,14.6,20.6,22.8,51.1,15.8,73.0,21.2,54,28,3
175,New York Knicks,2014,50.5,12.5,25.1,18.9,51.4,14.0,74.3,24.5,37,45,-1
176,Detroit Pistons,2014,48.199999999999996,12.9,31.4,19.900000000000002,52.0,13.8,73.4,21.8,29,53,-1
177,Oklahoma City Thunder,2014,52.0,14.0,26.5,24.4,48.8,13.9,75.6,22.1,59,23,2
178,Orlando Magic,2014,48.699999999999996,13.9,22.4,19.3,50.4,13.0,75.5,21.099999999999998,23,59,-1
179,Cleveland Cavaliers,2014,47.9,13.0,27.2,20.1,50.8,13.0,75.8,19.900000000000002,33,49,-1
180,Milwaukee Bucks,2013,47.599999999999994,12.7,27.9,17.4,49.2,14.4,71.3,20.1,38,44,0
181,Brooklyn Nets,2013,49.8,14.0,30.9,21.9,50.3,13.1,73.7,17.4,49,33,0
182,Washington Wizards,2013,47.5,14.2,24.6,19.1,48.3,13.7,74.6,20.599999999999998,29,53,-1
183,Utah Jazz,2013,49.2,13.8,28.8,21.4,50.1,14.0,73.2,22.6,43,39,-1
184,Portland Trail Blazers,2013,49.8,13.9,25.3,19.400000000000002,51.2,12.5,73.3,18.9,33,49,-1
185,Phoenix Suns,2013,47.699999999999996,14.3,27.0,17.4,51.2,14.2,71.9,20.8,25,57,-1
186,Indiana Pacers,2013,47.9,14.3,30.3,21.9,45.300000000000004,12.9,74.6,19.7,49,32,2
187,Denver Nuggets,2013,51.5,13.6,31.4,21.6,49.3,14.3,71.8,19.3,57,25,0
188,New Orleans Pelicans,2013,48.9,14.0,29.2,19.3,52.0,13.1,74.4,20.8,27,55,-1
189,Los Angeles Clippers,2013,52.6,13.9,28.8,20.3,49.2,15.4,73.5,22.900000000000002,56,26,0
190,Atlanta Hawks,2013,51.7,14.2,22.2,17.4,49.6,14.2,73.6,18.099999999999998,44,38,0
191,Sacramento Kings,2013,49.1,13.4,26.6,20.8,51.7,13.6,71.0,22.7,28,54,-1
192,Golden State Warriors,2013,50.6,14.0,25.4,20.1,48.6,12.4,75.5,21.099999999999998,47,35,1
193,Philadelphia 76ers,2013,48.1,12.5,24.9,14.6,49.5,13.7,73.4,20.0,34,48,-1
194,Memphis Grizzlies,2013,47.199999999999996,13.3,31.0,20.200000000000003,47.5,15.2,74.3,20.9,56,26,2
195,Boston Celtics,2013,50.3,14.1,20.1,20.4,48.199999999999996,14.2,73.3,21.6,41,40,0
196,Dallas Mavericks,2013,50.6,13.0,21.8,19.2,49.2,13.3,73.1,22.7,41,41,-1
197,Minnesota Timberwolves,2013,47.3,13.8,27.4,22.6,51.1,15.0,74.0,18.7,31,51,-1
198,Toronto Raptors,2013,48.8,13.0,25.5,21.6,50.0,13.6,73.4,24.7,34,48,-1
199,San Antonio Spurs,2013,53.1,14.0,20.5,20.4,48.0,13.7,74.9,17.9,58,24,3
200,Chicago Bulls,2013,47.0,13.6,29.4,20.1,47.699999999999996,13.2,73.6,20.599999999999998,45,37,1
201,Los Angeles Lakers,2013,51.2,13.9,27.0,23.9,49.6,11.9,74.3,16.3,45,37,0
202,Charlotte Hornets,2013,46.0,13.2,25.7,23.3,52.400000000000006,13.2,71.1,19.7,21,61,-1
203,Houston Rockets,2013,52.5,14.9,26.4,23.200000000000003,50.2,13.5,75.2,19.6,45,37,0
204,Miami Heat,2013,55.2,13.7,22.2,22.400000000000002,48.699999999999996,14.8,73.0,20.0,66,16,4
205,New York Knicks,2013,51.5,11.7,25.6,19.6,50.8,14.8,74.7,21.6,54,28,1
206,Detroit Pistons,2013,48.699999999999996,14.3,28.3,19.7,50.5,13.1,73.0,20.9,29,53,-1
207,Oklahoma City Thunder,2013,52.7,14.4,26.7,28.000000000000004,46.9,13.5,73.4,19.7,60,22,1
208,Orlando Magic,2013,48.5,13.7,25.4,14.899999999999999,50.8,11.8,74.6,19.5,20,62,-1
209,Cleveland Cavaliers,2013,47.3,13.0,28.1,20.0,52.300000000000004,14.4,72.6,22.5,24,58,-1
210,Milwaukee Bucks,2011,46.7,13.0,24.7,21.7,48.1,14.7,74.8,23.599999999999998,35,47,-1
211,Brooklyn Nets,2011,47.4,13.4,26.1,21.5,50.3,11.8,74.2,24.099999999999998,24,58,-1
212,Washington Wizards,2011,47.099999999999994,13.9,28.0,21.6,51.2,14.4,70.5,24.9,23,59,-1
213,Utah Jazz,2011,49.8,13.5,27.0,24.099999999999998,50.5,13.8,71.7,27.500000000000004,39,43,-1
214,Portland Trail Blazers,2011,48.6,12.6,29.5,22.400000000000002,51.0,15.4,72.0,23.1,48,34,0
215,Phoenix Suns,2011,52.2,13.2,23.7,21.5,51.300000000000004,13.1,71.6,21.099999999999998,40,42,-1
216,Indiana Pacers,2011,48.6,14.1,25.9,23.5,48.699999999999996,12.8,74.1,23.7,37,45,0
217,Denver Nuggets,2011,52.6,13.1,23.9,28.1,50.0,12.7,75.4,22.400000000000002,50,32,0
218,New Orleans Pelicans,2011,49.3,12.8,25.1,22.6,50.1,14.4,76.2,22.0,46,36,0
219,Los Angeles Clippers,2011,49.6,15.1,28.4,23.400000000000002,49.9,12.8,73.2,25.0,32,50,-1
220,Atlanta Hawks,2011,50.1,13.5,23.4,20.9,49.5,12.3,74.6,21.099999999999998,44,38,1
221,Sacramento Kings,2011,48.0,14.4,29.9,20.8,51.300000000000004,13.5,74.4,23.3,24,58,-1
222,Golden State Warriors,2011,51.0,13.3,26.7,18.3,50.9,14.5,69.3,25.900000000000002,36,46,-1
223,Philadelphia 76ers,2011,49.4,12.3,24.6,21.0,48.699999999999996,13.5,74.5,23.1,41,41,0
224,Memphis Grizzlies,2011,49.3,13.0,28.9,21.8,50.2,15.7,72.5,22.8,46,36,1
225,Boston Celtics,2011,51.9,14.5,21.1,23.5,46.9,14.8,74.7,23.5,56,26,1
226,Dallas Mavericks,2011,52.5,13.6,24.1,22.2,48.8,13.0,74.8,20.599999999999998,57,25,4
227,Minnesota Timberwolves,2011,48.3,15.1,29.6,21.7,51.4,13.1,73.7,25.1,17,65,-1
228,Toronto Raptors,2011,49.1,13.7,28.2,22.1,52.2,13.0,72.0,25.1,22,60,-1
229,San Antonio Spurs,2011,52.7,12.8,24.9,22.900000000000002,49.1,12.6,74.6,19.0,61,21,0
230,Chicago Bulls,2011,50.1,13.5,29.4,22.7,46.300000000000004,13.6,76.2,22.2,62,20,2
231,Los Angeles Lakers,2011,50.2,12.3,29.2,22.8,47.699999999999996,12.8,72.3,18.099999999999998,57,25,1
232,Charlotte Hornets,2011,48.199999999999996,14.1,25.7,23.7,50.0,12.9,75.2,22.900000000000002,34,48,-1
233,Houston Rockets,2011,50.3,12.3,27.4,23.9,50.0,12.6,72.7,21.9,43,39,-1
234,Miami Heat,2011,52.400000000000006,13.5,25.2,27.900000000000002,47.5,12.6,75.5,22.3,58,24,3
235,New York Knicks,2011,51.300000000000004,12.6,24.2,24.6,51.1,13.8,71.9,24.0,42,40,0
236,Detroit Pistons,2011,49.5,12.5,27.4,20.599999999999998,52.6,13.8,72.1,23.5,30,52,-1
237,Oklahoma City Thunder,2011,50.1,13.1,27.4,29.9,49.3,12.9,73.6,22.8,55,27,2
238,Orlando Magic,2011,52.1,14.3,26.1,22.7,47.5,13.3,76.9,21.9,52,30,0
239,Cleveland Cavaliers,2011,47.199999999999996,13.4,24.2,23.3,52.400000000000006,12.7,73.3,21.099999999999998,19,63,-1
